epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8033,1.31838,2.5443,1.5352,0.52139,0.4255,0.43625,0.22573,1.47339,2.42898,1.93402,0.000471266,0.000471266,0.000471266
2,116.187,1.44633,2.14316,1.59294,0.48302,0.33868,0.32634,0.143,1.61311,2.92605,2.14971,0.000916329,0.000916329,0.000916329
3,163.654,1.46296,2.03865,1.59242,0.68332,0.31053,0.30844,0.14719,1.65594,3.05894,2.12473,0.00132995,0.00132995,0.00132995
4,201.884,1.46005,1.88434,1.59843,0.38623,0.48491,0.40271,0.21656,1.61363,2.03907,2.01738,0.00128753,0.00128753,0.00128753
5,240.759,1.46494,1.78078,1.57281,0.56658,0.51655,0.51102,0.28822,1.5109,1.90924,1.90848,0.00124037,0.00124037,0.00124037
6,278.924,1.44191,1.71413,1.58251,0.5795,0.57346,0.5684,0.30862,1.55248,1.82804,2.03919,0.00119322,0.00119322,0.00119322
7,320.155,1.39654,1.56718,1.53067,0.65501,0.40726,0.504,0.28206,1.53943,2.14095,1.95475,0.00114606,0.00114606,0.00114606
8,358.479,1.38008,1.51457,1.53532,0.65067,0.56705,0.61571,0.32988,1.52631,1.72583,1.9023,0.0010989,0.0010989,0.0010989
9,397.213,1.3426,1.41642,1.47903,0.81525,0.66384,0.72964,0.4536,1.28147,1.37396,1.69031,0.00105174,0.00105174,0.00105174
10,435.347,1.32252,1.33675,1.48873,0.72249,0.57174,0.66379,0.39585,1.38371,1.387,1.74172,0.00100459,0.00100459,0.00100459
11,474.404,1.30985,1.2676,1.45503,0.68135,0.62646,0.62357,0.35893,1.47095,1.56769,1.82406,0.00095743,0.00095743,0.00095743
12,512.898,1.26433,1.2186,1.42908,0.68972,0.58352,0.63843,0.4038,1.32635,1.51631,1.69627,0.000910273,0.000910273,0.000910273
13,550.954,1.26536,1.21758,1.42765,0.77516,0.70952,0.7468,0.48279,1.25137,1.23641,1.65669,0.000863116,0.000863116,0.000863116
14,588.653,1.24027,1.16197,1.42216,0.80884,0.70293,0.76788,0.50361,1.19631,1.15418,1.57689,0.000815959,0.000815959,0.000815959
15,628.055,1.24315,1.14366,1.42801,0.7417,0.68083,0.72184,0.46888,1.26411,1.23522,1.60783,0.000768802,0.000768802,0.000768802
16,668.017,1.20436,1.07489,1.38694,0.81355,0.69584,0.7633,0.50774,1.20546,1.07182,1.61697,0.000721645,0.000721645,0.000721645
17,708.884,1.19181,1.05271,1.37953,0.76099,0.67917,0.75339,0.51499,1.14631,1.20152,1.56986,0.000674488,0.000674488,0.000674488
18,745.956,1.18849,1.04505,1.38469,0.79465,0.68079,0.76934,0.52236,1.14141,1.15636,1.57038,0.000627331,0.000627331,0.000627331
19,784.391,1.15753,0.99837,1.33525,0.86018,0.70765,0.80316,0.54723,1.09339,1.1199,1.51226,0.000580174,0.000580174,0.000580174
20,822.883,1.14648,0.97796,1.34184,0.86791,0.72105,0.80846,0.56269,1.08212,0.98997,1.49936,0.000533017,0.000533017,0.000533017
21,862.78,1.07067,0.84428,1.35757,0.81177,0.75149,0.80346,0.56181,1.08014,0.99675,1.48179,0.00048586,0.00048586,0.00048586
22,899.988,1.02144,0.75342,1.31694,0.86274,0.74629,0.82513,0.57841,1.06823,0.95727,1.47417,0.000438703,0.000438703,0.000438703
23,937.477,1.00957,0.73167,1.32967,0.87241,0.74396,0.82151,0.56303,1.10239,0.95093,1.50282,0.000391546,0.000391546,0.000391546
24,975.532,0.99998,0.7095,1.30147,0.90325,0.74902,0.85099,0.60075,1.06638,0.92653,1.47301,0.000344389,0.000344389,0.000344389
25,1013.25,0.97628,0.68271,1.29333,0.8745,0.76438,0.83313,0.59665,1.03161,0.89895,1.44328,0.000297232,0.000297232,0.000297232
26,1049.63,0.96296,0.65035,1.29148,0.88374,0.72454,0.81483,0.59814,1.02148,0.93854,1.42104,0.000250075,0.000250075,0.000250075
27,1087.5,0.94449,0.61538,1.26517,0.87953,0.74817,0.83164,0.61313,1.00325,0.85929,1.42782,0.000202918,0.000202918,0.000202918
28,1126.42,0.91498,0.60016,1.25766,0.88741,0.7522,0.84803,0.62027,1.02283,0.84855,1.43521,0.000155761,0.000155761,0.000155761
29,1164.67,0.89114,0.57558,1.23652,0.91289,0.75022,0.84761,0.63468,0.98228,0.84632,1.41086,0.000108604,0.000108604,0.000108604
30,1202.73,0.86776,0.55546,1.20274,0.88481,0.77512,0.85022,0.64055,0.97509,0.85154,1.40235,6.1447e-05,6.1447e-05,6.1447e-05
