epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1782.21,1.3539,2.5575,1.54178,0.59609,0.40769,0.47035,0.26928,1.35674,2.88666,1.86129,0.000471266,0.000471266,0.000471266
2,3351.54,1.41161,2.09384,1.56352,0.31956,0.32854,0.23899,0.11759,1.76467,7.56975,2.42897,0.000916329,0.000916329,0.000916329
3,4950.71,1.49395,2.02292,1.60667,0.32436,0.26355,0.20177,0.08973,1.90145,3.27581,2.38343,0.00132995,0.00132995,0.00132995
4,6589.56,1.48657,1.96645,1.58893,0.45719,0.42432,0.37558,0.19621,1.5727,2.43988,1.97784,0.00128753,0.00128753,0.00128753
5,8164.24,1.47652,1.82187,1.58543,0.55838,0.40686,0.43645,0.21484,1.74156,2.41008,2.26427,0.00124037,0.00124037,0.00124037
6,9541.33,1.43674,1.67676,1.54893,0.61846,0.48808,0.52997,0.29225,1.57544,1.97828,1.99579,0.00119322,0.00119322,0.00119322
7,10981.4,1.39198,1.5381,1.52107,0.55304,0.56501,0.52958,0.28101,1.5742,2.01542,1.99365,0.00114606,0.00114606,0.00114606
8,12405.9,1.38423,1.51075,1.50975,0.68999,0.48009,0.58222,0.27794,1.65988,2.0147,2.09023,0.0010989,0.0010989,0.0010989
9,13836.9,1.34216,1.43218,1.49498,0.62848,0.59802,0.63557,0.36139,1.44728,1.64227,1.84785,0.00105174,0.00105174,0.00105174
10,15265.7,1.32106,1.34838,1.48202,0.60777,0.58738,0.59395,0.36378,1.37057,1.7367,1.76229,0.00100459,0.00100459,0.00100459
11,16689.7,1.31723,1.3228,1.49091,0.57403,0.55924,0.53677,0.32397,1.40353,1.68603,1.78984,0.00095743,0.00095743,0.00095743
12,18122.5,1.27618,1.26665,1.4375,0.68929,0.67662,0.72223,0.46791,1.26691,1.31948,1.65955,0.000910273,0.000910273,0.000910273
13,19573,1.2692,1.24827,1.44884,0.77315,0.64575,0.70066,0.45363,1.25276,1.38232,1.66268,0.000863116,0.000863116,0.000863116
14,21022.9,1.22606,1.20505,1.42397,0.78253,0.68308,0.76723,0.49548,1.22826,1.22722,1.62963,0.000815959,0.000815959,0.000815959
15,22471.5,1.24611,1.14045,1.41487,0.76754,0.66044,0.74821,0.49909,1.21375,1.2016,1.59966,0.000768802,0.000768802,0.000768802
16,23931.5,1.20555,1.09464,1.39346,0.75458,0.72127,0.78118,0.51183,1.21353,1.12955,1.62249,0.000721645,0.000721645,0.000721645
17,25382.4,1.21373,1.06875,1.38679,0.72123,0.66147,0.70517,0.48151,1.17403,1.36348,1.61251,0.000674488,0.000674488,0.000674488
18,26831.3,1.17688,1.05282,1.37498,0.83098,0.76262,0.81622,0.55773,1.10313,1.05169,1.52907,0.000627331,0.000627331,0.000627331
19,28280.2,1.14591,0.98933,1.34953,0.8411,0.71816,0.80755,0.55044,1.13035,1.0605,1.54011,0.000580174,0.000580174,0.000580174
20,29725.4,1.14056,0.96839,1.35271,0.8224,0.77508,0.82524,0.56797,1.1083,1.00407,1.50868,0.000533017,0.000533017,0.000533017
21,31154.9,1.07058,0.88533,1.36859,0.81194,0.68899,0.7783,0.5344,1.14511,1.10049,1.54997,0.00048586,0.00048586,0.00048586
22,32578.2,1.05554,0.78625,1.363,0.82392,0.76838,0.81354,0.55478,1.10844,1.00039,1.52979,0.000438703,0.000438703,0.000438703
23,34005.2,1.0071,0.72398,1.32025,0.81978,0.75652,0.81799,0.55961,1.11022,1.01053,1.51356,0.000391546,0.000391546,0.000391546
24,35425.1,0.98115,0.70086,1.29885,0.83602,0.76488,0.82799,0.58854,1.03798,0.93968,1.45113,0.000344389,0.000344389,0.000344389
25,36830.5,0.96593,0.6728,1.28398,0.87462,0.73591,0.81778,0.57787,1.05513,0.96766,1.47554,0.000297232,0.000297232,0.000297232
26,38230.5,0.94779,0.65137,1.26387,0.86538,0.77704,0.84422,0.61743,1.00623,0.88541,1.42683,0.000250075,0.000250075,0.000250075
27,39631.8,0.94779,0.64598,1.27292,0.8789,0.79092,0.85685,0.60682,1.03249,0.87616,1.4518,0.000202918,0.000202918,0.000202918
28,41039.1,0.92541,0.60438,1.24884,0.85371,0.79565,0.84321,0.62173,0.9951,0.86667,1.42792,0.000155761,0.000155761,0.000155761
29,42438.6,0.91281,0.59564,1.24184,0.89122,0.78339,0.85084,0.62863,0.98375,0.84752,1.41169,0.000108604,0.000108604,0.000108604
30,43838.8,0.882,0.57446,1.21985,0.86706,0.80619,0.85972,0.63335,0.98531,0.81848,1.403,6.1447e-05,6.1447e-05,6.1447e-05
